household_key,cate,cate_lower,cate_upper,confident_positive,confident_negative,recommended_action
1012,2.011169013383258,-93.561488122985,97.58382614975147,False,False,A/B Test
1313,-27.476363340281225,-150.39520031316187,95.44247363259937,False,False,A/B Test
1465,35.893157605667355,-22.57430444779635,94.36061965913106,False,False,A/B Test
1784,-6.638296494067873,-126.86325740654321,113.58666441840747,False,False,A/B Test
2180,28.155731966876147,-28.204565093624332,84.51602902737662,False,False,A/B Test
350,63.18518776131665,-7.846306046868456,134.2166815695018,False,False,A/B Test
464,37.49806068951893,-43.937168193927256,118.93328957296512,False,False,A/B Test
258,157.12832811090271,-58.69737242596139,372.9540286477668,False,False,A/B Test
2257,87.35049506384932,-11.95105889159845,186.65204901929707,False,False,A/B Test
153,62.15070418866534,-50.396867066376394,174.69827544370705,False,False,A/B Test
38,9.878420376316194,-108.85466951824193,128.6115102708743,False,False,A/B Test
936,138.6733577746875,-39.71165806704184,317.05837361641693,False,False,A/B Test
1172,63.184075163698424,5.87818606444722,120.48996426294954,False,False,A/B Test
1675,13.884275534274089,-95.02671728946629,122.79526835801443,False,False,A/B Test
1551,11.654154138097901,-119.20379395269094,142.51210222888673,False,False,A/B Test
2074,54.40170881397729,-96.45385710191675,205.25727472987128,False,False,A/B Test
2311,89.87694987039548,-16.461552063959132,196.21545180475005,False,False,A/B Test
1049,25.82286854884087,-59.75510980321552,111.40084690089725,False,False,A/B Test
237,-38.24801997100768,-156.84972075757491,80.35368081555947,False,False,A/B Test
1554,55.260662764727414,14.562021391205711,95.95930413824912,False,False,A/B Test
1998,113.51175184942129,-73.07792580353654,300.10142950237895,False,False,A/B Test
2222,-43.154482410614186,-226.35166882186863,140.0427040006402,False,False,A/B Test
1033,17.888549657058363,-45.00304711705523,80.78014643117196,False,False,A/B Test
1805,83.3629061631836,-25.189538017199553,191.91535034356676,False,False,A/B Test
782,95.46281426195786,9.780116536979705,181.14551198693593,False,False,A/B Test
1109,41.10913951644378,-9.7834239979817,92.00170303086927,False,False,A/B Test
1096,90.32423163045337,27.969066457527546,152.67939680337918,False,False,A/B Test
1189,27.093650927068108,-49.83530359712995,104.02260545126613,False,False,A/B Test
540,35.38121209129004,-81.93799707801375,152.7004212605938,False,False,A/B Test
1452,87.30992228386073,-31.080107297541886,205.6999518652633,False,False,A/B Test
2127,-42.20089937682524,-171.50480972445092,87.1030109708004,False,False,A/B Test
812,28.940838457484436,-201.7180140254717,259.59969094044055,False,False,A/B Test
1867,80.77216283139704,-84.54265654094726,246.0869822037413,False,False,A/B Test
1233,-29.658374090118983,-141.5213154552323,82.20456727499436,False,False,A/B Test
192,19.64903840838634,-106.47305014894853,145.77112696572118,False,False,A/B Test
1427,58.68297269389431,-9.690141044615778,127.05608643240436,False,False,A/B Test
1960,87.28444098134726,8.677911476678403,165.89097048601604,False,False,A/B Test
1079,68.01334290384364,-23.31284692688783,159.33953273457507,False,False,A/B Test
1718,23.128624359816868,-58.782437336198385,105.0396860558321,False,False,A/B Test
